,MaritalStatus,ApplicationMode,ApplicationOrder,Course,DaytimeEveningAttendance,PreviousQualification,Nationality,MothersQualification,FathersQualification,MothersOccupation,FathersOccupation,Displaced,EducationalSpecialNeeds,Debtor,TuitionFeesUpToDate,Gender,ScholarshipHolder,AgeAtEnrollment,International,CurricularUnits1stSemCredited,CurricularUnits1stSemEnrolled,CurricularUnits1stSemEvaluations,CurricularUnits1stSemApproved,CurricularUnits1stSemGrade,CurricularUnit1stSemWithoutEvaluations,CurricularUnits2ndSemCredited,CurricularUnits2ndSemEnrolled,CurricularUnits2ndSemEvaluations,CurricularUnits2ndSemapproved,CurricularUnits2ndSemGrade,CurricularUnits2ndSemWithoutEvaluations,UnemploymentRate,InflationRate,GDP,Target
1987,2,-1,1,12,1,-1,1,22,27,10,10,0,0,0,1,0,1,32,0,0,8,8,8,14.6625,0,0,8,8,8,14.6625,0,9.4,-0.8,-3.12,1
1989,1,1,2,12,1,1,1,13,27,4,4,1,0,0,1,0,1,23,0,0,7,8,6,12.99333,0,0,8,9,8,12.66875,0,11.1,0.6,2.02,1
1991,1,8,1,3,0,1,1,22,14,6,6,0,0,0,1,0,0,18,0,0,6,8,5,12.2,0,0,6,10,5,12.8,0,10.8,1.4,1.74,1
1992,1,14,1,2,1,-1,1,22,27,10,10,1,0,0,1,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,0
1994,1,1,1,9,1,1,1,22,28,-1,-1,0,0,0,1,0,0,21,0,0,5,7,5,12.2,0,0,5,7,5,11.8,0,11.1,0.6,2.02,1
1995,1,1,1,11,1,1,1,13,-1,-1,-1,1,0,0,1,0,1,20,0,0,6,12,0,0,0,0,6,12,0,0,0,7.6,2.6,0.32,0
1996,1,1,5,10,1,1,1,-1,14,-1,3,1,0,0,1,0,0,18,0,0,6,8,6,11.33333,0,0,6,6,6,11.66667,0,7.6,2.6,0.32,1
1997,1,8,1,6,1,1,1,3,27,5,9,1,0,0,1,0,0,18,0,0,6,8,6,13.85714,0,0,6,15,6,13.1,0,12.4,0.5,1.79,1
1998,1,8,1,15,1,1,1,22,27,10,10,0,0,0,1,0,0,18,0,0,6,7,6,12.85714,0,0,6,6,6,13.33333,0,13.9,-0.3,0.79,1
1999,1,12,1,3,0,1,1,22,28,5,8,1,0,0,1,0,0,24,0,0,6,10,1,10,0,0,6,12,0,0,0,9.4,-0.8,-3.12,0
2000,1,-1,1,9,1,1,1,13,14,10,8,0,0,1,0,0,0,32,0,14,15,17,14,10.21429,0,13,13,13,13,11.38462,0,16.2,0.3,-0.92,1
2001,1,12,1,11,1,1,1,1,1,10,7,1,0,1,0,0,0,24,0,0,6,14,6,11.28571,0,0,6,16,3,10.33333,0,8.9,1.4,3.51,0
2002,1,1,1,10,1,1,1,23,27,10,6,0,0,0,1,0,1,18,0,0,6,6,6,13.83333,0,0,6,7,0,0,0,15.5,2.8,-4.06,0
2003,1,-1,1,11,1,1,1,23,28,10,10,0,0,0,1,0,0,28,0,0,6,8,6,12.85714,0,0,6,8,5,12.6,0,8.9,1.4,3.51,1
2004,1,8,5,16,1,1,1,13,28,5,9,1,0,0,1,0,1,18,0,0,6,8,6,11.66667,0,0,6,9,4,12,0,10.8,1.4,1.74,0
2005,1,-1,1,16,1,-1,1,-1,-1,-1,-1,1,0,0,0,0,0,24,0,0,6,12,0,0,0,0,5,10,0,0,0,9.4,-0.8,-3.12,0
2006,1,1,1,6,1,1,1,1,27,5,11,0,0,0,1,0,0,19,0,0,5,7,5,14.4,0,0,5,6,5,13.2,0,7.6,2.6,0.32,1
2007,2,12,1,3,0,1,1,22,27,10,9,0,0,0,1,0,0,44,0,0,6,6,6,14.83333,0,0,6,6,6,14.16667,0,10.8,1.4,1.74,1
2008,1,-1,3,6,1,1,1,22,27,10,3,1,0,0,1,0,1,18,0,0,6,14,6,14.33333,0,0,6,9,6,12,0,15.5,2.8,-4.06,1
2009,1,1,1,2,1,1,1,22,27,10,8,1,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,1
2010,1,1,-1,15,1,1,1,1,1,-1,-1,0,0,0,1,0,0,22,0,0,6,0,0,0,0,0,6,0,0,0,0,7.6,2.6,0.32,0
2011,1,-1,1,16,1,1,1,22,27,10,6,0,0,0,1,0,1,18,0,0,7,9,6,12.33333,0,0,7,7,6,12.66667,0,11.1,0.6,2.02,1
2012,2,12,1,17,0,1,1,22,27,10,5,0,0,0,1,0,0,44,0,0,5,5,5,11.8,0,0,5,5,5,12.4,0,15.5,2.8,-4.06,1
2013,-1,12,1,16,1,12,1,23,1,6,4,0,0,1,1,0,0,33,0,0,6,7,5,13.2,0,0,6,7,5,10.6,0,7.6,2.6,0.32,0
2014,2,12,1,16,1,1,1,22,27,10,10,0,0,1,0,0,0,32,0,0,6,6,0,0,0,0,5,10,0,0,0,10.8,1.4,1.74,0
2015,2,12,1,4,1,1,1,13,14,5,5,0,0,0,0,0,0,35,0,0,6,0,0,0,0,0,6,0,0,0,0,15.5,2.8,-4.06,0
2016,1,1,1,10,1,1,1,13,14,-1,7,1,0,0,1,0,0,20,0,0,6,6,6,11.5,0,0,6,7,6,13.28571,0,11.1,0.6,2.02,1
2017,1,12,1,11,1,1,1,3,1,-1,7,1,0,0,1,0,0,24,0,0,6,8,5,12.6,0,0,6,7,5,12.2,0,9.4,-0.8,-3.12,1
2018,1,1,1,12,1,1,1,23,1,10,11,0,0,0,1,0,0,19,0,0,7,7,7,13.54286,0,0,8,9,8,14.22222,0,16.2,0.3,-0.92,1
2020,1,1,2,15,1,1,1,1,1,5,10,1,0,0,1,1,1,19,0,0,6,7,6,13.66667,0,0,6,6,6,13.83333,0,12.7,3.7,-1.7,1
2021,1,-1,1,4,1,1,1,13,1,10,6,1,0,0,0,1,0,27,0,0,6,10,0,0,0,0,6,8,0,0,0,15.5,2.8,-4.06,0
2022,1,12,1,16,1,1,1,13,1,10,5,0,0,0,0,0,0,30,0,0,6,0,0,0,0,0,6,0,0,0,0,12.7,3.7,-1.7,0
2023,1,8,4,2,1,1,1,23,28,10,10,1,0,0,1,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,0
2024,1,1,1,5,1,1,1,1,-1,6,9,1,0,0,1,1,0,19,0,0,6,6,6,11.5,0,0,6,8,6,12.28571,0,8.9,1.4,3.51,1
2026,1,14,1,12,1,1,1,-1,14,5,11,0,0,0,1,1,0,18,0,0,7,7,7,11.82857,0,0,8,10,7,12.9125,0,13.9,-0.3,0.79,1
2027,1,1,1,2,1,1,1,3,-1,4,4,1,0,0,1,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,-0.8,-3.12,1
2029,1,1,1,12,1,1,1,13,27,5,10,1,0,0,1,0,1,19,0,0,7,7,6,12.96667,0,0,7,7,6,12.96667,0,7.6,2.6,0.32,1
2030,1,1,1,15,1,1,1,22,28,10,7,1,0,0,1,1,0,18,0,0,6,6,6,13.83333,0,0,6,6,6,13.66667,0,12.7,3.7,-1.7,1
2031,1,8,2,12,1,1,1,13,14,10,11,1,0,0,1,0,0,19,0,0,7,7,7,14.12571,0,0,8,8,8,14.36875,0,11.1,0.6,2.02,1
2032,-1,12,1,11,1,1,1,23,27,10,10,0,0,1,1,0,0,45,0,4,10,12,5,12.16667,4,2,8,8,0,0,2,12.7,3.7,-1.7,0
2033,1,12,1,6,1,1,1,13,27,10,7,1,0,0,1,0,0,26,0,0,6,17,6,12.66667,0,0,6,21,4,12.25,0,15.5,2.8,-4.06,1
2034,2,12,2,17,0,1,1,22,27,10,10,1,0,0,1,1,0,51,0,0,4,4,0,0,0,0,5,0,0,0,0,12.7,3.7,-1.7,0
2035,2,12,1,15,1,12,1,22,27,-1,7,0,0,1,1,1,1,49,0,0,6,8,6,12.28571,0,0,6,7,6,14.16667,0,10.8,1.4,1.74,1
2037,1,8,1,9,1,1,1,1,27,6,10,1,0,0,1,1,0,22,0,0,5,8,2,10,0,0,5,7,1,10,0,7.6,2.6,0.32,0
2038,2,-1,1,-1,1,-1,1,3,3,-1,-1,0,0,0,1,0,0,33,0,1,5,11,2,11.5,1,1,5,8,2,12,0,9.4,-0.8,-3.12,0
2039,1,-1,1,14,1,1,-1,22,27,10,10,0,0,0,1,0,0,20,1,0,5,6,5,11.6,0,0,5,6,4,11.5,0,9.4,-0.8,-3.12,1
2040,1,1,4,10,1,1,1,23,14,8,8,1,0,0,1,0,1,18,0,0,6,6,6,12.5,0,0,6,6,6,11.66667,0,10.8,1.4,1.74,1
2041,1,1,5,16,1,1,1,23,27,10,10,1,0,1,0,0,0,20,0,0,6,9,3,11.66667,0,0,6,10,2,11,0,10.8,1.4,1.74,0
2042,2,-1,1,17,0,1,-1,23,27,5,7,0,0,0,1,0,0,37,1,5,10,11,7,13.42857,0,5,10,11,10,11.6,0,8.9,1.4,3.51,1
2043,1,1,1,11,1,1,-1,22,1,10,4,1,0,0,1,1,0,18,1,0,6,6,6,13.66667,0,0,6,6,6,13.5,0,7.6,2.6,0.32,1
2044,1,1,3,11,1,1,1,1,14,10,10,1,0,0,1,0,0,19,0,0,6,6,6,12.5,0,0,6,6,6,12.16667,0,12.4,0.5,1.79,1
2045,1,15,1,6,1,14,1,1,14,4,4,1,0,0,1,0,0,21,0,2,6,7,6,13,0,1,6,15,4,12.8,0,12.4,0.5,1.79,1
2046,1,1,2,12,1,1,1,13,1,10,-1,0,0,0,1,0,0,20,0,0,7,9,6,12.78333,0,0,8,9,7,12.84286,0,13.9,-0.3,0.79,1
2047,1,1,2,12,1,1,1,22,1,8,8,1,0,0,1,0,0,19,0,0,7,0,0,0,0,0,8,0,0,0,0,13.9,-0.3,0.79,0
2048,1,8,2,-1,1,1,1,23,14,8,8,1,0,0,1,0,0,20,0,0,7,13,4,13.5,0,0,7,11,4,11.225,0,11.1,0.6,2.02,0
2049,1,8,4,12,1,1,1,3,1,3,6,1,0,0,1,0,0,18,0,0,7,7,7,13.45714,0,0,8,8,8,15.125,0,13.9,-0.3,0.79,1
2050,1,1,4,12,1,1,1,1,14,10,8,1,0,0,1,0,0,19,0,0,8,8,7,13.44286,0,0,8,8,7,13.44286,0,12.7,3.7,-1.7,1
2051,1,1,1,10,1,1,1,22,28,10,4,0,0,0,1,0,0,18,0,0,6,13,4,11,0,0,6,12,5,10.83333,0,15.5,2.8,-4.06,1
2052,1,8,1,10,1,1,1,23,28,8,8,1,0,0,1,0,1,18,0,0,6,6,6,11.33333,0,0,6,7,6,12.28571,0,15.5,2.8,-4.06,1
2053,1,1,2,15,1,1,1,1,14,5,6,1,0,0,1,0,0,18,0,0,5,7,2,10,0,0,1,1,0,0,0,12.7,3.7,-1.7,0
2055,1,1,2,-1,1,1,1,1,14,5,6,1,0,0,1,0,1,18,0,0,7,8,7,12.21429,0,0,8,8,8,14.0625,0,16.2,0.3,-0.92,1
2056,1,1,1,5,1,1,-1,22,14,10,9,1,0,0,1,0,1,19,1,0,6,6,6,14.16667,0,0,6,6,6,13.5,0,11.1,0.6,2.02,1
2057,1,-1,1,4,1,-1,1,1,14,10,8,0,0,1,1,0,1,24,0,7,12,13,12,12.84615,0,5,11,13,11,12.63636,0,8.9,1.4,3.51,1
2059,1,1,1,9,1,1,1,1,14,6,8,1,0,0,1,0,1,21,0,0,5,6,5,12.8,1,0,5,7,4,11.25,0,9.4,-0.8,-3.12,1
2060,1,15,1,6,1,14,1,23,27,5,11,0,0,1,0,0,0,20,0,1,6,13,4,13,0,1,6,11,5,12,0,16.2,0.3,-0.92,0
2061,1,8,-1,12,1,1,1,13,27,4,10,1,0,0,1,0,1,19,0,0,7,7,7,13.37143,0,0,8,9,8,13.66667,0,16.2,0.3,-0.92,1
2062,1,8,5,-1,1,1,1,13,14,10,9,1,0,0,1,0,1,19,0,0,7,8,7,13.38571,0,0,8,8,8,13.3875,0,10.8,1.4,1.74,1
2063,1,1,3,12,1,1,1,1,1,10,10,1,0,0,1,0,0,18,0,0,8,8,7,13.32857,0,0,8,8,7,13.32857,0,12.7,3.7,-1.7,1
2064,1,1,1,6,1,1,1,23,28,5,8,1,0,0,1,0,0,19,0,0,6,12,5,14,0,0,6,14,5,11,0,16.2,0.3,-0.92,1
2065,1,8,4,9,1,1,1,23,14,10,10,1,0,0,1,0,0,21,0,0,5,5,5,12.6,0,0,5,5,5,13.2,0,8.9,1.4,3.51,1
2066,1,1,2,16,1,1,1,1,28,10,9,1,0,0,1,0,1,19,0,0,6,7,6,14,0,0,6,6,6,15,0,15.5,2.8,-4.06,1
2067,1,1,5,11,1,1,1,13,1,8,11,1,0,0,1,0,1,18,0,0,6,7,6,13.42857,0,0,6,6,6,12.66667,0,8.9,1.4,3.51,1
2068,1,8,5,5,1,1,1,-1,1,5,5,1,1,0,1,0,1,17,0,0,6,6,6,13,0,0,6,6,6,12.5,0,15.5,2.8,-4.06,1
2070,1,8,-1,9,1,1,1,22,1,10,8,1,0,0,0,1,0,23,0,0,5,9,3,10,1,0,5,9,3,12.33333,0,9.4,-0.8,-3.12,0
2071,1,1,1,14,1,1,1,1,27,-1,11,1,0,0,1,0,0,19,0,0,6,7,6,12.83333,0,0,6,10,6,11.77778,0,8.9,1.4,3.51,1
2072,1,1,1,12,1,1,1,13,3,10,5,1,0,0,1,0,0,18,0,0,7,7,6,12.91667,0,0,7,7,6,12.91667,0,7.6,2.6,0.32,1
2073,1,1,1,14,1,1,1,23,28,6,10,1,0,0,1,0,0,20,0,0,6,9,6,13.28571,0,0,6,8,5,13.8,0,15.5,2.8,-4.06,1
2074,1,1,3,6,1,1,1,1,14,10,10,1,0,0,1,0,1,19,0,0,5,6,5,14.6,0,0,5,5,5,13.8,0,10.8,1.4,1.74,1
2075,1,1,1,10,1,1,1,13,28,4,10,1,0,0,1,0,1,18,0,0,6,6,6,14,0,0,6,6,6,13.66667,0,12.4,0.5,1.79,1
2076,1,8,2,10,1,1,1,22,27,10,5,0,0,0,1,0,1,19,0,0,6,7,6,14.14286,0,0,6,6,6,15,0,13.9,-0.3,0.79,1
2077,1,1,4,10,1,1,1,23,1,5,11,1,0,0,1,0,0,19,0,0,6,8,6,11.66667,0,0,6,6,6,12.33333,0,10.8,1.4,1.74,1
2078,1,8,1,12,1,1,1,13,27,5,9,1,0,0,1,0,0,18,0,0,8,9,8,14.3775,1,0,8,9,8,14.3775,1,9.4,-0.8,-3.12,1
2079,1,8,2,12,1,1,1,3,3,4,7,1,0,0,1,0,0,18,0,0,7,8,7,12.5,0,0,8,9,7,13.04286,0,13.9,-0.3,0.79,1
2080,1,1,5,12,1,1,1,23,28,8,8,1,0,0,1,0,1,19,0,0,7,7,6,14.15,0,0,7,7,6,14.15,0,7.6,2.6,0.32,1
2081,1,1,1,12,1,1,1,23,27,10,10,0,0,0,1,0,1,19,0,0,8,12,7,12.47143,0,0,8,12,7,12.47143,0,12.7,3.7,-1.7,1
2082,1,1,1,12,1,1,1,-1,-1,3,-1,0,0,0,1,0,0,19,0,0,7,7,6,14.15,0,0,7,7,6,14.15,0,7.6,2.6,0.32,1
2083,1,1,2,12,1,1,1,22,27,10,9,1,0,0,1,0,0,21,0,0,7,11,7,14.07222,0,0,8,8,8,14.0475,0,15.5,2.8,-4.06,1
2084,1,1,3,15,1,1,1,3,1,3,4,1,0,0,1,0,0,18,0,0,6,7,6,14.85714,0,0,6,6,6,14.66667,0,13.9,-0.3,0.79,1
2085,1,1,1,15,1,1,1,13,27,10,10,0,0,0,1,0,1,19,0,0,6,7,6,14.28571,0,0,6,6,6,13.16667,0,11.1,0.6,2.02,1
2086,1,1,4,15,1,1,1,13,27,-1,-1,0,0,0,0,0,0,18,0,0,4,4,0,0,0,0,4,4,0,0,0,12.7,3.7,-1.7,0
2087,1,-1,1,3,0,-1,1,1,1,5,5,0,0,0,1,0,0,30,0,0,6,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,0
2088,1,8,1,-1,1,1,1,3,-1,4,7,1,0,0,1,0,0,18,0,0,6,8,6,15,0,0,6,8,5,15.16667,0,13.9,-0.3,0.79,0
2089,1,1,3,12,1,1,1,13,14,5,9,1,0,0,1,0,1,20,0,0,7,7,6,12.63333,0,0,7,7,6,12.63333,0,7.6,2.6,0.32,1
2090,1,12,1,14,1,12,1,1,1,5,8,0,0,1,0,0,0,25,0,0,5,5,5,11.2,0,0,5,5,5,12.6,0,9.4,-0.8,-3.12,0
2091,1,1,5,12,1,1,1,23,27,6,8,1,0,0,1,0,0,18,0,0,7,7,6,14.23333,0,0,7,7,6,14.23333,0,7.6,2.6,0.32,1
2093,1,1,1,12,1,1,1,-1,-1,3,-1,0,0,0,1,0,0,18,0,0,8,8,7,15.7,0,0,8,8,7,15.7,0,12.7,3.7,-1.7,1
2094,1,1,1,12,1,1,1,22,27,10,10,1,0,0,1,0,0,18,0,0,7,7,6,15.2,0,0,7,7,6,15.2,0,7.6,2.6,0.32,1
2095,1,8,1,16,1,1,1,3,3,3,3,1,0,0,0,0,0,29,0,0,6,9,6,16.33333,0,0,6,8,5,15.6,0,12.7,3.7,-1.7,0
2096,1,14,1,-1,1,1,1,3,3,3,3,0,0,0,1,0,0,20,0,10,17,29,14,12.5625,4,7,12,24,12,12.85714,1,15.5,2.8,-4.06,1
2097,1,-1,1,12,1,-1,1,3,1,5,5,0,0,0,1,0,0,26,0,0,7,0,0,0,0,0,8,0,0,0,0,13.9,-0.3,0.79,0
2098,1,1,2,10,1,1,1,23,1,8,8,1,0,0,1,0,0,21,0,0,6,8,5,12.4,0,0,6,6,6,12,0,12.4,0.5,1.79,1
2099,1,-1,1,12,1,1,1,22,14,6,6,0,0,0,1,0,1,19,0,0,8,9,8,13.78125,1,0,8,9,8,13.78125,1,9.4,-0.8,-3.12,1
2100,1,8,2,11,1,1,1,13,14,6,6,1,0,1,1,0,0,19,0,0,6,10,6,12.16667,0,0,6,8,5,11.66667,0,16.2,0.3,-0.92,0
2102,1,-1,1,3,0,1,1,1,1,5,4,0,0,1,1,0,0,20,0,0,6,13,4,10.8,0,0,6,15,4,12,0,16.2,0.3,-0.92,1
2103,1,1,-1,12,1,1,1,22,27,10,9,1,0,0,1,0,1,18,0,0,7,8,7,13.26,0,0,8,8,8,14.28625,0,15.5,2.8,-4.06,1
2104,1,1,2,15,1,1,1,-1,14,4,-1,1,0,0,0,0,0,20,0,0,6,10,4,12,0,0,6,15,3,10.66667,0,7.6,2.6,0.32,0
2105,1,1,1,10,1,1,1,13,28,10,10,0,1,0,1,0,1,20,0,0,6,9,6,11.875,0,0,6,7,6,14.42857,0,16.2,0.3,-0.92,1
2108,1,1,1,15,1,1,1,22,27,10,10,1,0,0,1,0,0,18,0,0,6,6,6,13.33333,0,0,6,9,5,13.2,0,9.4,-0.8,-3.12,1
2110,1,15,1,6,1,14,1,3,3,3,3,1,0,0,1,0,0,22,0,2,6,7,6,14.42857,0,1,6,9,5,13,0,13.9,-0.3,0.79,1
2112,1,8,1,4,1,1,1,13,1,10,3,1,0,0,1,0,1,19,0,0,6,7,6,15,0,0,6,8,6,14.33333,0,12.4,0.5,1.79,1
2113,1,1,2,-1,1,1,1,13,14,10,10,1,0,0,1,0,0,18,0,0,7,9,7,15.15556,0,0,8,8,8,16.8,0,12.7,3.7,-1.7,1
2114,1,1,1,10,1,1,1,23,28,-1,-1,1,0,1,1,0,0,20,0,0,6,8,6,10.66667,0,0,6,7,6,11.85714,0,11.1,0.6,2.02,1
2115,1,8,1,16,1,1,1,23,27,6,6,1,0,0,1,0,0,18,0,0,6,9,5,11,0,0,6,9,4,11.25,0,10.8,1.4,1.74,0
2116,1,8,2,14,1,1,1,1,14,6,6,1,0,0,1,0,0,21,0,0,6,0,0,0,0,0,6,0,0,0,0,8.9,1.4,3.51,0
2117,1,1,1,10,1,1,1,1,14,5,5,0,0,0,1,0,0,19,0,0,6,7,6,12.28571,0,0,6,7,6,12,0,12.4,0.5,1.79,1
2118,1,1,5,12,1,1,1,23,28,10,10,1,0,0,1,0,0,18,0,0,8,8,8,12.82875,0,0,8,8,8,12.82875,0,9.4,-0.8,-3.12,0
2119,1,1,4,15,1,1,-1,-1,-1,-1,5,1,0,0,1,0,0,18,1,0,6,6,6,12.66667,0,0,6,8,5,14.4,0,7.6,2.6,0.32,1
2121,1,8,1,6,1,1,1,13,14,5,10,1,0,1,0,0,1,21,0,0,6,16,2,13,0,0,6,8,0,0,0,15.5,2.8,-4.06,0
2122,1,1,1,9,1,1,1,1,28,6,6,0,0,1,1,0,0,19,0,0,5,10,5,10.875,0,0,5,8,4,12.4,0,13.9,-0.3,0.79,1
2123,1,1,1,9,1,1,1,22,27,10,8,1,0,0,1,0,1,19,0,0,5,5,5,12.8,0,0,5,8,5,11.6,0,9.4,-0.8,-3.12,1
2124,1,8,3,10,1,1,1,1,14,5,11,1,0,0,1,0,0,19,0,0,6,10,5,11.28571,0,0,6,7,0,0,0,16.2,0.3,-0.92,0
2125,1,1,1,2,1,1,1,-1,3,4,4,0,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,-0.3,0.79,1
2126,1,14,1,11,1,1,1,23,28,10,10,0,0,0,1,0,1,19,0,0,6,0,0,0,0,0,6,11,1,10,0,10.8,1.4,1.74,0
2127,1,8,2,12,1,1,1,23,1,6,8,1,0,0,1,0,1,20,0,0,7,9,6,13.76667,0,0,8,9,8,13.74444,0,16.2,0.3,-0.92,0
2128,1,1,3,12,1,1,1,-1,-1,-1,-1,1,0,0,0,0,0,18,0,0,8,9,6,12.75833,1,0,8,9,6,12.75833,1,9.4,-0.8,-3.12,0
2129,1,1,1,2,1,1,1,13,14,-1,9,1,0,0,1,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0.6,2.02,0
2130,1,1,1,5,1,1,1,13,1,6,8,1,0,0,1,0,0,18,0,0,6,6,6,12.66667,0,0,6,8,6,13.25,0,10.8,1.4,1.74,1
2132,1,1,1,10,1,1,1,1,27,6,8,0,0,0,1,0,1,19,0,0,6,8,6,12.25,0,0,6,8,6,12,0,16.2,0.3,-0.92,1
2133,1,1,2,9,1,1,1,13,27,5,6,1,0,0,1,0,0,20,0,0,5,8,3,11.33333,0,0,5,8,5,12.2,0,7.6,2.6,0.32,1
2134,1,8,5,12,1,1,1,1,1,5,6,1,0,0,1,0,1,19,0,0,7,9,7,13.50714,0,0,8,12,8,13.05,0,16.2,0.3,-0.92,1
2135,1,1,3,12,1,1,1,13,28,-1,-1,1,0,0,1,0,0,18,0,0,8,8,7,13.61429,0,0,8,8,7,13.61429,0,12.7,3.7,-1.7,1
2136,1,12,1,11,1,1,1,13,1,5,-1,0,0,1,1,0,0,25,0,0,6,6,0,0,0,0,6,6,0,0,0,15.5,2.8,-4.06,0
2137,1,8,5,5,1,1,1,22,27,10,10,1,0,0,0,0,0,18,0,0,6,9,4,11.5,1,0,6,6,6,12.16667,0,7.6,2.6,0.32,1
2138,1,1,5,15,1,1,1,23,14,10,10,1,0,0,1,0,0,19,0,0,6,7,6,12.33333,0,0,6,7,6,12.5,0,8.9,1.4,3.51,1
2139,1,8,2,-1,1,1,1,13,28,5,9,1,0,0,1,0,1,19,0,0,7,7,7,11.97143,0,0,8,8,8,14.4375,0,15.5,2.8,-4.06,1
2140,1,1,1,9,1,1,1,13,14,6,9,0,0,1,0,0,1,20,0,0,5,12,2,13,1,0,5,13,2,11.5,0,9.4,-0.8,-3.12,0
2142,1,8,4,6,1,1,1,23,27,5,10,1,0,0,1,0,0,20,0,0,5,12,2,13.5,0,0,5,12,5,11.28571,1,10.8,1.4,1.74,1
2143,1,8,1,10,1,1,1,1,1,10,10,1,0,0,1,0,0,21,0,0,6,8,6,12.16667,0,0,6,7,6,13.28571,0,11.1,0.6,2.02,1
2144,1,1,2,2,1,1,1,3,1,3,4,1,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,3.7,-1.7,1
2145,2,12,1,3,0,-1,1,22,27,8,10,0,0,0,1,0,0,42,0,0,6,6,6,11.66667,0,0,6,6,6,13.66667,0,10.8,1.4,1.74,1
2147,1,1,1,5,1,1,1,22,27,10,7,0,0,0,1,0,1,19,0,0,6,7,5,13.4,0,0,6,6,6,12.83333,0,15.5,2.8,-4.06,1
2148,1,1,-1,11,1,1,1,23,14,10,6,1,0,0,1,0,0,18,0,0,6,11,6,12,0,0,6,11,4,12.5,0,8.9,1.4,3.51,1
2149,1,-1,1,6,1,1,1,13,14,5,6,1,0,0,1,0,0,21,0,0,5,6,5,14.2,0,0,5,5,5,14.8,0,10.8,1.4,1.74,1
2150,1,1,1,10,1,1,1,23,27,6,6,0,0,0,1,0,1,20,0,0,6,8,6,12.125,0,0,6,7,6,14.42857,0,16.2,0.3,-0.92,1
2151,1,1,1,16,1,1,1,1,14,4,4,1,0,0,1,0,0,20,0,0,7,7,7,13.85714,0,0,7,7,7,13.28571,0,11.1,0.6,2.02,1
2153,1,1,4,12,1,1,1,23,27,8,8,1,0,0,1,0,0,19,0,0,7,9,7,14.28333,0,0,8,9,8,13.12556,0,15.5,2.8,-4.06,1
2154,1,-1,1,10,1,1,1,1,14,5,10,0,0,0,1,0,0,21,0,10,13,21,11,13.27273,0,6,11,13,9,13,0,7.6,2.6,0.32,1
2155,1,1,1,5,1,1,1,23,14,-1,-1,1,1,0,1,0,0,19,0,0,6,6,6,14.66667,0,0,6,7,6,15.14286,0,8.9,1.4,3.51,1
2156,1,1,1,12,1,1,1,13,14,10,10,0,0,0,1,0,1,19,0,0,7,10,7,15.115,0,0,8,10,8,15.092,0,15.5,2.8,-4.06,1
2158,1,15,1,6,1,14,1,22,14,10,11,1,0,0,1,0,0,22,0,1,6,13,6,15,0,1,6,7,6,13.14286,0,16.2,0.3,-0.92,1
2159,1,1,2,16,1,1,1,3,1,4,6,0,0,0,1,0,0,21,0,0,6,8,5,13.2,0,0,6,9,5,14.33333,0,9.4,-0.8,-3.12,1
2160,1,8,4,11,1,1,1,22,27,6,9,1,0,0,1,0,1,18,0,0,6,14,2,11,0,0,6,14,3,10.33333,0,7.6,2.6,0.32,0
2161,1,1,4,12,1,1,1,1,3,-1,3,0,0,0,1,0,1,20,0,0,8,8,7,14.56571,0,0,8,8,7,14.56571,0,10.8,1.4,1.74,1
2162,1,8,2,14,1,1,1,-1,27,-1,-1,1,0,1,0,0,0,18,0,0,5,8,3,12,0,0,5,6,4,10.75,0,7.6,2.6,0.32,0
2163,1,8,1,10,1,1,1,13,27,8,10,0,0,0,1,0,0,20,0,0,6,6,0,0,0,0,5,5,0,0,0,8.9,1.4,3.51,0
2164,1,8,4,12,1,1,1,1,1,4,4,1,0,0,1,0,0,23,0,0,7,7,6,13.79667,0,0,8,11,7,13.775,0,12.4,0.5,1.79,1
2165,1,1,2,15,1,1,1,1,1,4,4,1,0,0,1,0,0,18,0,0,6,6,6,14.83333,0,0,6,6,6,15.33333,0,12.7,3.7,-1.7,1
2166,1,15,1,10,1,14,1,1,1,10,4,1,0,0,1,0,0,20,0,3,6,6,6,12.83333,0,2,6,6,6,13.83333,0,12.4,0.5,1.79,1
2167,1,8,1,12,1,1,1,23,27,6,10,1,0,0,1,0,1,18,0,0,8,8,7,14.96286,0,0,8,8,7,14.96286,0,10.8,1.4,1.74,1
2168,1,1,-1,9,1,1,1,23,28,10,10,1,0,0,1,0,0,20,0,0,5,8,4,12,0,0,5,8,5,11.2,0,11.1,0.6,2.02,1
2169,1,-1,2,12,1,1,1,1,3,4,3,1,0,0,1,0,0,18,0,0,7,8,7,12.4,0,0,8,9,8,12.8,0,16.2,0.3,-0.92,1
